,Genre,Metacritic,Metacritic,Metacritic,Metacritic,RecommendationCount,RecommendationCount,RecommendationCount,RecommendationCount,PriceInitial,PriceInitial,PriceInitial,PriceInitial
,,mean,min,max,count,mean,min,max,sum,mean,min,max,sum
0,Indie,9.880005485463522,0,94,7292,778.9580362040592,0,237684,5680162,7.5877893582007685,0.0,159.99,55330.16
1,Action,15.170589342873281,0,96,5311,2145.872340425532,0,1427633,11396728,8.795234419130107,0.0,99.99,46711.49
2,Adventure,13.207467853610288,0,96,4044,1143.820474777448,0,222301,4625610,9.046730959446094,0.0,159.99,36584.98
3,Casual,4.672854534388314,0,91,3286,419.788496652465,0,222301,1379425,6.098825319537432,0.0,79.99,20040.74
4,Strategy,17.452333466294377,0,94,2507,1047.7762265656163,0,590480,2626775,10.22741523733546,0.0,79.99,25640.13
5,RPG,15.042317380352644,0,96,1985,1713.2423173803527,0,219763,3400786,9.565546599496223,0.0,59.99,18987.61
6,Simulation,9.43502538071066,0,92,1970,1105.0020304568527,0,237684,2176854,10.867426395939086,0.0,79.99,21408.829999999998
7,EarlyAccess,0.17789553368660105,0,86,1321,1162.000757002271,0,222301,1535003,9.476805450416352,0.0,79.99,12518.86
8,FreeToPlay,7.57395498392283,0,92,622,4797.400321543409,0,590480,2983983,0.08030546623794213,0.0,14.99,49.95
9,Sports,9.343434343434344,0,92,495,673.6767676767677,0,86627,333470,12.13519191919192,0.0,59.99,6006.92
10,Racing,14.464601769911505,0,87,452,738.3539823008849,0,86627,333736,10.93358407079646,0.0,59.99,4941.98
11,MassivelyMultiplayer,10.350974930362117,0,89,359,3720.376044568245,0,153350,1335615,5.71924791086351,0.0,59.99,2053.21
